time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,tp_p,date_utc,vwap
2026-03-29 00:15:00,66359.31,66367.26,66239.58,66293.5,12.70549,,0.0,0.0,0.0,,,66293.5,66293.5,66293.5,66300.11333333333,2026-03-29,66300.11333333333
2026-03-29 00:20:00,66293.51,66384.82,66293.51,66366.0,6.87025,99.99999999986207,5.783475783478934,1.1566951566957868,4.626780626783147,,,66308.0,66300.0909090909,66296.3431372549,66348.11,2026-03-29,66316.9581166808
2026-03-29 00:25:00,66366.0,66407.52,66356.01,66356.01,10.07634,98.95117009087859,9.45185737128486,2.8157275996136013,6.636129771671258,,,66317.602,66305.1744628099,66298.6830142253,66373.18,2026-03-29,66336.06338051945
2026-03-29 00:30:00,66356.02,66444.01,66356.02,66428.59,10.35646,99.0307116696025,18.00808958543348,5.854199996777577,12.153889588655904,,,66339.7996,66316.3940570999,66303.77740582431,66409.54,2026-03-29,66355.0832615395
2026-03-29 00:35:00,66428.6,66438.7,66395.49,66395.5,4.02545,95.47565698702144,21.866811809202773,9.056722359262617,12.810089449940156,,,66350.93968000001,66323.58550645444,66307.37437030178,66409.89666666667,2026-03-29,66360.09413204361
2026-03-29 00:40:00,66395.5,66456.36,66349.43,66359.98,8.7875,91.67138927198435,21.807328516617417,11.606843590733577,10.20048492588384,,,66352.74774400001,66326.89409677677,66309.4373361723,66388.58999999998,2026-03-29,66364.83476771417
2026-03-29 00:45:00,66353.57,66371.78,66286.93,66345.06,6.85002,90.04832908766092,20.32200880286109,13.34987663315908,6.972132169702011,,,66351.21019520001,66328.54554252434,66310.83430338123,66334.59,2026-03-29,66361.36280490081
2026-03-29 00:50:00,66345.82,66385.62,66315.07,66334.12,5.89394,88.806734264683,18.054000379808713,14.290701382489008,3.763298997319705,,,66347.79215616001,66329.05231138576,66311.74746795451,66344.93666666666,2026-03-29,66359.88619377126
2026-03-29 00:55:00,66334.13,66370.34,66328.84,66343.01,4.02844,88.94018507534749,16.780500898719765,14.78866128573516,1.9918396129846059,,,66346.83572492801,66330.32119216888,66312.97344960335,66347.39666666667,2026-03-29,66359.16323791165
2026-03-29 01:00:00,66342.86,66441.54,66331.26,66431.99,6.16757,90.19963775408095,22.689633773683454,16.36885578332482,6.320777990358636,,,66363.8665799424,66339.56381106262,66317.64076530517,66401.59666666666,2026-03-29,66362.617647874
2026-03-29 01:05:00,66434.92,66444.76,66362.59,66362.59,2.26127,82.32521675621521,21.524542621307774,17.39999315092141,4.124549470386363,,,66363.61126395392,66341.65710096601,66319.40348039125,66389.98,2026-03-29,66363.41066890764
2026-03-29 01:10:00,66359.3,66441.54,66355.59,66385.05,10.37091,82.84711516574554,22.158108896561316,18.351616300049393,3.806492596511923,,,66367.89901116314,66345.6019099691,66321.97785370924,66394.06,2026-03-29,66367.00664543174
2026-03-29 01:15:00,66385.06,66456.0,66370.71,66444.6,7.70298,84.18085629925487,27.15240601937694,20.1117742439149,7.040631775462039,,,66383.23920893052,66354.60173633555,66326.78656532848,66423.77,2026-03-29,66371.55672206265
2026-03-29 01:20:00,66444.59,66444.59,66247.45,66315.54,8.5969,71.25033932081382,20.46050312675652,20.181520020483227,0.27898310627329437,,,66369.69936714442,66351.05066939595,66326.34552355089,66335.85999999999,2026-03-29,66368.6254885928
2026-03-29 01:25:00,66315.54,66370.98,66291.24,66363.07,3.3509,72.90121083084122,18.775958089798223,19.900407634346227,-1.1244495445480034,,,66368.37349371554,66352.1433358145,66327.7856990979,66341.76333333334,2026-03-29,66367.79238313434
2026-03-29 01:30:00,66362.59,66443.83,66352.73,66394.01,2.97655,73.9498543653514,19.710334962946945,19.86239310006637,-0.1520581371194254,,,66373.50079497244,66355.94939619499,66330.38273050584,66396.85666666667,2026-03-29,66368.57161694167
2026-03-29 01:35:00,66394.0,66408.65,66328.62,66385.68,2.49484,73.12935338143348,19.553275989339454,19.80056967792099,-0.24729368858153578,7.407798303011792,,66375.93663597795,66358.65217835909,66332.55125087815,66374.31666666667,2026-03-29,66368.69788111452
2026-03-29 01:40:00,66385.67,66402.27,66341.08,66366.33,7.80021,71.15436749282135,17.663804987358162,19.373216739808427,-1.709411752450265,5.493721787522393,,66374.01530878237,66359.35016214462,66333.87590770646,66369.89333333333,2026-03-29,66368.77474465121
2026-03-29 01:45:00,66366.33,66397.29,66359.31,66395.21,4.7335,72.35441635507424,18.28597095461737,19.155767582770217,-0.869796628152848,4.204286366028179,5.701935485520788,66378.2542470259,66362.6101474042,66336.28116622778,66383.93666666666,2026-03-29,66369.34411578295
2026-03-29 01:50:00,66395.2,66473.93,66379.05,66383.99,4.15266,71.11656082628588,17.669993054834777,18.85861267718313,-1.1886196223483552,1.9496800837923438,3.8825627457809726,66379.40139762074,66364.55377036745,66338.15210088552,66412.32333333332,2026-03-29,66370.71489219816
2026-03-29 01:55:00,66383.99,66469.6,66383.99,66449.5,5.66831,73.92187032674843,22.211890790829784,19.529268299912463,2.6826224909173213,6.849849853867242,4.3346054345625875,66393.4211180966,66372.2761548795,66342.51868516453,66434.36333333334,2026-03-29,66373.37020826695
2026-03-29 03:00:00,66449.5,66516.85,66449.19,66497.65,3.5137,75.7835928938944,29.35825635844958,21.49506591161989,7.863190446829691,13.052300381650761,7.283943439770116,66414.26689447727,66383.67377716317,66348.60226613848,66487.89666666667,2026-03-29,66376.25727613941
2026-03-29 03:05:00,66497.64,66580.8,66465.27,66465.28,11.96704,72.05917096350831,32.04047147430538,23.604147024156987,8.43632445014839,14.698803093248863,11.533651109588954,66424.46951558182,66391.0925246938,66353.17786354481,66503.78333333334,2026-03-29,66386.34050722701
2026-03-29 03:10:00,66465.28,66532.26,66463.58,66527.98,14.50516,74.65722064237164,38.77849788730964,26.63901719678752,12.13948069052212,18.832568150568097,15.527890541822574,66445.17161246546,66403.53684063072,66360.03284928815,66507.94,2026-03-29,66396.97512973743
2026-03-29 03:15:00,66527.09,66559.98,66503.02,66542.5,7.55781,75.23158843316443,44.77394880475185,30.266003518380387,14.507945286371466,21.17986226332673,18.23707783571456,66464.63728997236,66416.16985511883,66367.18842382588,66535.16666666667,2026-03-29,66402.9978509432
2026-03-29 03:20:00,66542.5,66586.31,66510.65,66512.01,5.0778,71.56379643845939,46.52874426652852,33.51855166801002,13.0101925985185,20.67447380238597,20.228968072093597,66474.11183197789,66424.88259556257,66372.8677013229,66536.32333333332,2026-03-29,66406.79073877279
2026-03-29 03:25:00,66512.0,66532.11,66490.91,66517.38,1.75087,71.82433985962658,47.801717984242714,36.375184931256555,11.426533052986159,16.695707678015943,19.51668124790955,66482.76546558231,66433.29145051143,66378.53485029064,66513.46666666667,2026-03-29,66407.82698326818
2026-03-29 03:30:00,66517.39,66527.08,66451.42,66453.6,2.49059,64.28997470539723,43.1664498943137,37.73343792386799,5.433011970445712,6.196282953681444,14.52215481136112,66476.93237246585,66435.13768228312,66381.4785816518,66477.36666666667,2026-03-29,66408.77478363314
