time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,atr,roc5,vol_ma,vol_ratio,tp_p,date_utc,vwap
2026-04-05 01:55:00,67300.96,67300.96,67300.01,67300.02,0.11705,,0.0,0.0,0.0,,,67300.02,67300.02,67300.02,0.9500000000116415,,,,67300.33,2026-04-05,67300.33
2026-04-05 01:56:00,67300.02,67300.02,67294.32,67294.49,0.6652,0.0,-0.44113960112736095,-0.0882279202254722,-0.35291168090188874,,,67298.914,67299.51727272727,67299.80313725492,1.5833333333430346,,,,67296.27666666667,2026-04-05,67296.88317694684
2026-04-05 01:57:00,67295.48,67306.39,67295.48,67303.5,0.25554,11.137206427492103,-0.06298812507884577,-0.08317996119614691,0.020191836117301146,,,67299.8312,67299.87933884298,67299.94811226454,2.958888888896521,,,,67301.79,2026-04-05,67298.09140747806
2026-04-05 01:58:00,67303.5,67303.5,67295.47,67300.0,0.59156,10.641410011617538,-0.045200066932011396,-0.07558398234331982,0.03038391541130843,,,67299.86496,67299.89030803907,67299.95014707769,3.6350370370434963,,,,67299.65666666666,2026-04-05,67298.65969834596
2026-04-05 01:59:00,67300.01,67300.01,67295.8,67295.81,0.32563,10.063818790402593,-0.36499346789787523,-0.1334658794542309,-0.23152758844364432,,,67299.05396800001,67299.5193709446,67299.78778836876,3.7116987654366103,,,,67297.20666666667,2026-04-05,67298.41767504868
2026-04-05 02:00:00,67295.8,67302.47,67288.29,67288.3,1.57976,9.109434221889956,-1.2104727026307955,-0.34886724408954384,-0.8616054585412517,,,67296.90317440001,67298.49942813146,67299.3372868641,5.107472263379404,-0.0174145564889894,,,67293.02,2026-04-05,67296.00532473864
2026-04-05 02:01:00,67288.29,67301.94,67288.29,67301.93,0.46404,23.321985960125048,-0.771797200475703,-0.4334532353667757,-0.3383439651089273,,,67297.90853952001,67298.81129830133,67299.43896188904,6.246475961596648,0.011055882881329178,,,67297.38666666666,2026-04-05,67296.16562310673
2026-04-05 02:02:00,67301.93,67302.48,67291.49,67302.47,1.53599,23.830167447521077,-0.3762332349579083,-0.4220092352850023,0.045776000327094,,,67298.82083161602,67299.14390754666,67299.55782612869,6.87894583338252,-0.0015303810351598888,,,67298.81333333334,2026-04-05,67296.90040638244
2026-04-05 02:03:00,67302.47,67302.47,67289.04,67296.16,0.6987,21.995715420734015,-0.5653927123057656,-0.45068593068915497,-0.11470678161661063,,,67298.28866529281,67298.87264322424,67299.4245780452,7.75241972226586,-0.005705794947988867,,,67295.89,2026-04-05,67296.78715149562
2026-04-05 02:04:00,67296.15,67296.16,67288.51,67288.51,0.07904,19.986893989041832,-1.3174077704752563,-0.6240302986463753,-0.693377471828881,,,67296.33293223426,67297.93058474931,67298.99655537677,7.7387637592982434,-0.01084762929520116,,,67291.06,2026-04-05,67296.71544086796
2026-04-05 02:05:00,67288.52,67288.52,67279.1,67284.0,0.88521,18.8915020973143,-2.2513522431836464,-0.9494946875538295,-1.3018575556298169,,,67293.8663457874,67296.66416795392,67298.40845516592,7.962928591391579,-0.006390412597736769,,,67283.87333333334,2026-04-05,67295.13605711718
2026-04-05 02:06:00,67284.48,67286.4,67276.44,67276.44,0.54713,17.190721636387636,-3.5604956079041585,-1.4716948716238956,-2.088800736280263,,,67290.38107662993,67294.82560723083,67297.5469471202,8.229204779204949,-0.037874099598615804,,,67279.76,2026-04-05,67294.04982534632
2026-04-05 02:07:00,67276.44,67276.44,67267.97,67267.97,0.50236,15.50635095138989,-5.2212717984075425,-2.2216102569806253,-2.999661541426917,,,67285.89886130394,67292.38418839166,67296.38706684098,8.261310808644444,-0.051261120134223896,,,67270.79333333333,2026-04-05,67292.63320914186
2026-04-05 02:08:00,67267.97,67267.98,67267.97,67267.97,0.02154,15.506350951370564,-6.462948052518186,-3.0698778160881375,-3.3930702364300487,,,67282.31308904315,67290.1647167197,67295.2726720629,7.16113603415782,-0.04188946293518431,,,67267.97333333334,2026-04-05,67292.56897044496
2026-04-05 02:09:00,67267.98,67270.94,67267.97,67270.94,1.32906,18.74408345679555,-7.125196421955479,-3.8809415372616063,-3.244254884693873,,,67280.03847123453,67288.41701519971,67294.31844962906,6.602317896270266,-0.02611144161163984,,,67269.95,2026-04-05,67289.43680082922
2026-04-05 02:10:00,67270.94,67270.94,67250.21,67250.21,0.78516,14.55247058619878,-9.216528376113274,-4.94805890503194,-4.2684694710813345,,,67274.07277698762,67284.94365018155,67292.58870650636,8.486008843433687,-0.050219963141301935,,,67257.12000000001,2026-04-05,67286.99300494626
2026-04-05 02:11:00,67250.22,67250.22,67250.21,67250.22,0.04036,14.562396063408542,-10.749206934196991,-6.10828851086495,-4.640918423332041,50.891664116928204,,67269.3022215901,67281.7869547105,67290.92718860415,7.355874330975165,-0.03897352475844614,,,67250.21666666666,2026-04-05,67286.85060390811
2026-04-05 02:12:00,67250.21,67250.22,67236.12,67250.22,3.11171,14.562396063390324,-11.82752538358909,-7.252135885409778,-4.575389498179312,37.02025752075672,,67265.48577727209,67278.917231555,67289.33082826674,8.255091086845919,-0.026387001124011916,,,67245.52,2026-04-05,67277.34868492694
2026-04-05 02:13:00,67250.21,67250.22,67250.21,67250.22,0.22481,14.562396063370713,-12.537575161506538,-8.30922374062913,-4.228351420877408,37.042732572372095,41.651551403352336,67262.43262181767,67276.30839232272,67287.7970702955,7.155745608599099,-0.026387001124011916,,,67250.21666666666,2026-04-05,67276.90539891545
2026-04-05 02:14:00,67250.22,67250.22,67250.21,67250.22,0.02191,14.562396063349581,-12.951003618145478,-9.237579716132402,-3.7134239020130764,24.730815756170443,32.93126861643308,67259.99009745414,67273.93672029338,67286.32345969569,6.202979527451854,-0.03080081830282313,0.689088,0.03179564873691086,67250.21666666666,2026-04-05,67276.86296963766
2026-04-05 02:15:00,67250.21,67250.21,67245.01,67245.02,0.08198,13.468180488594982,-13.542139832105022,-10.098491739326926,-3.443648092778096,12.383238232045363,24.718928853529302,67256.99607796331,67271.30792753943,67284.70371617822,6.0705822571257935,-0.007717448019868381,0.6873345,0.11927234845344263,67246.74666666666,2026-04-05,67276.68488388897
