time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,atr,roc5,vol_ma,vol_ratio,tp_p,date_utc,vwap
2025-10-14 18:00:00,112964.99,113604.55,111765.0,112669.12,1694.40587,,0.0,0.0,0.0,,,112669.12,112669.12,112669.12,1839.550000000003,,,,112679.55666666666,2025-10-14,112679.55666666666
2025-10-14 22:00:00,112669.12,113650.0,112284.36,113100.12,504.56714,99.9999999999768,34.381766381760826,6.876353276352166,27.50541310540866,,,112755.32,112708.3018181818,112686.02196078432,1776.3620000000024,,,,113011.49333333333,2025-10-14,112755.72146441518
2025-10-15 02:00:00,113090.14,113682.16,111890.97,112087.81,581.18022,84.69746693652779,-19.8268413405749,1.5357143529667523,-21.362555693541655,,,112621.81800000001,112651.89347107436,112662.56266820454,1778.3390666666692,,,,112553.64666666667,2025-10-15,112553.64666666667
2025-10-15 06:00:00,112093.6,112766.65,111815.94,112645.66,605.87374,85.97145282435605,-17.571171136238263,-2.2856627448742506,-15.285508391364012,,,112626.58640000001,112651.32679188577,112661.89981847104,1667.9885244444456,,,,112409.41666666667,2025-10-15,112480.03150470706
2025-10-15 10:00:00,112645.66,113600.0,111779.59,111999.63,826.36033,77.88471340718418,-67.13882358427509,-15.256294912754418,-51.88252867152067,,,112501.19512000002,112592.08162898707,112635.9284530408,1688.3113878518534,,,,112459.73999999999,2025-10-15,112471.70331581458
2025-10-15 14:00:00,111999.62,112323.97,110456.08,110873.72,1523.79889,66.19783231821762,-195.0249464585795,-51.21002522191944,-143.81492123666007,,,112175.70009600003,112435.86693544278,112566.82223919607,1712.2552028049395,-1.593515596820135,,,111217.92333333334,2025-10-15,111931.58643611634
2025-10-15 18:00:00,110873.72,111628.13,110226.59,111313.19,937.09614,68.20340000240822,-257.94068436340604,-92.55615705021677,-165.38452731318927,,,112003.19807680004,112333.80539585707,112517.66019060015,1670.8265090976151,-1.5799541149912069,,,111055.97000000002,2025-10-15,111748.19795675097
2025-10-15 22:00:00,111327.78,111624.24,110560.96,110817.07,665.62602,63.61467266270757,-343.87067064936855,-142.81905977004715,-201.0516108793214,,,111765.97246144003,112195.92035987007,112450.97037920407,1589.8203078845997,-1.1337004443212788,,,111000.75666666667,2025-10-15,111651.40367079359
2025-10-16 02:00:00,110817.07,111922.48,110416.88,111396.24,535.72896,66.45228569454139,-361.07438445575826,-186.47012470718937,-174.6042597485689,,,111692.02596915203,112123.22214533642,112409.608403549,1578.5909334999853,-1.1091594651760204,,,111245.2,2025-10-16,111245.2
2025-10-16 06:00:00,111398.49,111819.97,110599.37,110616.01,665.86969,59.69788111520855,-432.6788396094198,-235.71186768763548,-196.96697192178434,,,111476.82277532163,111986.20285939674,112339.27121125296,1530.8588090333214,-1.235379081163045,,,111011.78333333333,2025-10-16,111115.8514163659
2025-10-16 10:00:00,110615.45,111770.51,109659.88,111455.01,1166.86356,63.942133250635386,-416.9196082955168,-271.9534158092118,-144.96619248630503,,,111472.46022025732,111937.91259945158,112304.59430100775,1608.161634495544,0.5242811371351062,,,110961.8,2025-10-16,111039.95534195747
2025-10-16 14:00:00,111455.02,112030.91,108397.21,108610.01,2256.05207,46.18185803942061,-626.7729785390839,-342.9173283551862,-283.85565018389764,,,110899.97017620585,111635.37599950143,112159.7086421447,1878.2334165628042,-2.4284453621354376,,,109679.37666666666,2025-10-16,110376.20210195502
2025-10-16 18:00:00,108603.14,109321.0,107620.56,108254.83,2392.63355,44.5193553643489,-812.3787474930141,-436.80961218275183,-375.56913531026225,,,110370.94214096469,111328.05363591039,112006.57614637433,1854.527627687764,-2.312134764075611,,,108398.79666666668,2025-10-16,109701.96711346065
2025-10-16 22:00:00,108254.84,108560.28,107400.0,108215.8,978.24626,44.33050043863259,-951.6519995510025,-539.778089656402,-411.8739098946005,,,109939.91371277175,111045.12148719125,111857.91825828122,1761.9612773293952,-2.8550694350186347,,,108058.69333333334,2025-10-16,109500.91055371256
2025-10-17 02:00:00,108215.81,109272.29,107958.94,109209.8,664.80165,50.13240271445121,-970.6307354989985,-625.9486188249214,-344.6821166740772,,,109793.89097021741,110878.27407926477,111754.07048344667,1702.1464403521413,-1.2712535915913004,,,108813.67666666665,2025-10-17,108813.67666666665
2025-10-17 06:00:00,109209.8,109272.72,105549.0,105639.6,1682.78454,35.72900722282503,-1259.2410757944454,-752.6071102188262,-506.6339655756192,,,108963.03277617393,110402.03098114979,111514.28732723309,1971.6895816385227,-5.217719687970948,,,106820.44,2025-10-17,107384.89511158867
2025-10-17 10:00:00,105639.6,106615.78,103529.01,105693.16,3091.06995,36.02595690903421,-1466.7373700339522,-895.4331621818513,-571.3042078521008,3.6710273533695603,,108309.05822093914,109973.95180104524,111286.00782420435,2120.366970753387,-2.6856180199228334,,,105279.31666666665,2025-10-17,106188.18583434685
2025-10-17 14:00:00,105693.15,106870.99,104550.43,106805.23,1737.70236,42.01627912452808,-1523.8785991955956,-1021.1222495846002,-502.75634961099536,5.168478829460589,,108008.29257675132,109685.8861827684,111110.29104678458,2147.059374652937,-1.3390626542945068,,,106075.54999999999,2025-10-17,106160.91189657393
2025-10-17 18:00:00,106805.23,107590.66,106100.0,106484.4,1095.77067,40.82849561233493,-1576.8745069524884,-1132.272701058178,-444.6018058943105,10.402847566397908,6.414117916409352,107703.51406140107,109394.8419843349,110928.88355475382,2059.539458032546,-1.5999512086035574,,,106725.02,2025-10-17,106235.63668649687
2025-10-17 22:00:00,106488.59,107489.44,106377.47,106474.21,480.14791,40.789054673943994,-1601.2383149448724,-1226.065823835517,-375.1724911093554,15.399720993138535,10.32368246299901,107457.65324912086,109129.32998575899,110754.19047417524,1933.1968636282068,-2.5048942494171738,1204.328976,0.3986850101329457,106780.37333333334,2025-10-17,106265.5208138032
2025-10-18 02:00:00,106474.22,107350.82,106370.03,107127.9,566.6692,44.49339489982446,-1549.9328275891166,-1290.839224586237,-259.0936030028797,19.937207792943127,15.246592117493188,107391.7025992967,108947.38180523543,110611.98300459975,1806.2092818111137,1.4088466824940538,1147.9421425,0.49363916439712957,106949.58333333333,2025-10-18,106949.58333333333
2025-10-18 06:00:00,107127.98,107548.39,106493.25,106742.9,466.95815,42.795237712549,-1522.7854192324594,-1337.2284635154815,-185.55695571697788,22.3693716671073,19.23543348439632,107261.94207943736,108746.97436839584,110460.25425932133,1706.0667109029653,0.9931957753935927,1146.061693,0.4074459105055867,106928.18000000001,2025-10-18,106939.91402559186
