time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,tp,date,vwap
2026-04-05 13:09:00,67053.37,67078.7,67041.48,67078.7,1.64717,,0.0,0.0,0.0,,,67078.7,67078.7,67078.7,67066.29333333333,2026-04-05,67066.29333333333
2026-04-05 13:12:00,67078.69,67078.69,67042.59,67042.59,0.88394,0.0,-2.880569800574449,-0.5761139601148898,-2.304455840459559,,,67071.478,67075.41727272727,67077.28392156863,67054.62333333334,2026-04-05,67062.21781713689
2026-04-05 13:15:00,67042.6,67064.74,67042.6,67064.73,1.44963,4.503936367137143,-3.33844562950253,-1.1285802939924179,-2.2098653355101123,,,67070.1284,67074.44570247934,67076.79161091888,67057.35666666667,2026-04-05,67060.44757603695
2026-04-05 13:18:00,67064.73,67077.35,67058.02,67065.49,0.42698,4.662672530275486,-3.598508508235682,-1.6225659368410708,-1.975942571394611,,,67069.20072000001,67073.63154770849,67076.34841049068,67066.95333333332,2026-04-05,67061.0777948917
2026-04-05 13:21:00,67065.5,67067.62,67040.16,67040.16,0.97441,4.4001513750480115,-5.78187961257936,-2.4544286719887287,-3.327450940590631,,,67063.39257600001,67070.58867973498,67074.92925713811,67049.31333333334,2026-04-05,67058.94789297794
2026-04-05 13:24:00,67040.17,67040.17,66989.2,67009.01,1.37814,4.094819791634194,-9.911507918106508,-3.945844521212285,-5.965663396894223,,,67052.51606080002,67064.99061794089,67072.34418823074,67012.79333333333,2026-04-05,67049.53888345191
2026-04-05 13:27:00,67009.0,67009.0,66984.12,67004.0,1.97941,4.046188635248313,-13.433678152709035,-5.843411247511636,-7.590266905197399,,,67042.81284864001,67059.44601630988,67069.66402398639,66999.04,2026-04-05,67038.10162317537
2026-04-05 13:30:00,67004.0,67010.63,66995.01,67000.0,0.37115,4.005288890483911,-16.359211206567124,-7.946571239322735,-8.41263996724439,,,67034.25027891202,67054.04183300899,67066.93210147713,67001.88,2026-04-05,67036.62605449047
2026-04-05 13:33:00,67000.0,67006.39,66959.8,66960.57,2.88231,3.617145722391882,-21.610278856096556,-10.6793127626775,-10.930966093419057,,,67019.51422312962,67045.54439364454,67062.7610386741,66975.58666666667,2026-04-05,67021.9564652154
2026-04-05 13:36:00,66966.58,66991.68,66966.58,66984.7,0.49432,9.403246125879932,-23.553191927887383,-13.254088595719477,-10.299103332167906,,,67012.5513785037,67040.0130851314,67059.6998214712,66980.98666666668,2026-04-05,67020.33466295787
