time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,tp,date,vwap
2026-01-12 13:00:00,90528.85,90773.0,90515.89,90694.01,51.46237,,0.0,0.0,0.0,,,90694.01,90694.01,90694.01,90660.96666666667,2026-01-12,90660.96666666669
2026-01-12 14:00:00,90694.01,90742.4,90444.0,90537.99,72.18802,0.0,-12.446039886039216,-2.4892079772078435,-9.956831908831372,,,90662.806,90679.82636363636,90687.89156862746,90574.79666666668,2026-01-12,90610.65997791788
2026-01-12 15:00:00,90538.0,91038.45,90031.23,90817.21,246.58788,12.100646592813291,0.21858458942733705,-1.9476494638808073,2.1662340533081443,,,90693.6868,90692.31578512395,90692.96287966167,90628.96333333333,2026-01-12,90622.85046705554
2026-01-12 16:00:00,90817.2,91593.0,90621.35,91592.99,256.04769,35.46606112461666,72.02410422585672,12.846701274066698,59.17740295179002,,,90873.54744,90774.19525920358,90728.25806085143,91269.11333333334,2026-01-12,90887.06541775189
2026-01-12 17:00:00,91592.99,92268.74,91501.65,92067.84,424.70799,45.08790620738699,165.3409745481331,43.345555928879975,121.99541861925312,,,91112.405952,90891.7993265487,90780.79068591609,91946.07666666666,2026-01-12,91315.01320842562
2026-01-12 18:00:00,92067.83,92261.79,90960.64,91453.98,259.17908,37.337669453127646,187.59936611632293,72.19631796636857,115.40304814995436,,,91180.72076160001,90942.90666049882,90807.19026686056,91558.80333333333,2026-01-12,91363.23989210777
2026-01-12 19:00:00,91446.37,91885.59,91345.32,91627.23,108.748,40.44890740009568,216.7209051954851,101.10123541219188,115.61966978329322,,,91270.02260928,91005.11787318074,90839.348687768,91619.38,2026-01-12,91382.87081156285
2026-01-12 20:00:00,91627.22,91833.65,91368.81,91804.36,63.28178,43.535678062119146,251.1972004262061,131.12042841499473,120.07677201121138,,,91376.890087424,91077.77624834613,90877.19226863985,91668.94,2026-01-12,91395.08436784902
2026-01-12 21:00:00,91804.35,91989.46,91352.78,91430.68,105.92247,38.94895182605539,245.53666591551155,154.00367591509809,91.53299000041346,,,91387.64806993921,91109.8584075874,90898.89766986965,91590.97333333333,2026-01-12,91408.14948514874
2026-01-12 22:00:00,91423.72,91442.85,90877.22,90994.3,127.26932,34.39209109096778,203.4926953910035,163.90147981027917,39.59121558072434,,,91308.97845595138,91099.35309780671,90902.6389377179,91104.79,2026-01-12,91385.6425031456
2026-01-12 23:00:00,90995.4,91380.96,90976.83,91165.3,82.11591,37.4789189826993,181.87428320921026,167.4960404900654,14.37824271914485,,,91280.2427647611,91105.34827073338,90912.93937153289,91174.36333333334,2026-01-12,91375.99060893044
2026-01-13 00:00:00,91165.3,91240.88,90994.31,91209.0,74.14232,38.278136982070315,166.3501792695315,167.26686824595865,-0.9166889764271389,,,91265.9942118089,91114.77115521216,90924.5495922571,91148.06333333334,2026-01-13,91148.06333333334
2026-01-13 01:00:00,91209.01,91464.02,91164.2,91393.01,104.65503,41.65995481926419,166.97055163279583,167.2076049233261,-0.23705329053026958,,,91291.39736944712,91140.06559564742,90942.92058863917,91340.40999999999,2026-01-13,91260.6491528122
2026-01-13 02:00:00,91393.01,91464.02,90963.0,91104.95,92.3553,38.137171893163135,142.5746547478193,162.28101488822477,-19.70636014040548,,,91254.10789555771,91136.87326877037,90949.27468320234,91177.32333333335,2026-01-13,91232.26816130901
2026-01-13 03:00:00,91104.94,91300.35,91014.47,91042.0,51.1044,37.393030919367774,116.81462551032018,153.18773701264388,-36.373111502323695,,,91211.68631644617,91128.24842615488,90952.91097013558,91118.94,2026-01-13,91214.29627307011
2026-01-13 04:00:00,91041.99,91374.48,90999.68,91325.88,126.9299,42.812213309644974,117.94674362326623,146.13953833476836,-28.19279471150213,,,91234.52505315695,91146.21493286807,90967.53720660086,91233.34666666666,2026-01-13,91219.67947610878
2026-01-13 05:00:00,91325.88,91568.5,91266.01,91429.99,53.70516,44.702631495692565,125.79467953942367,142.07056657569942,-16.275887036275748,90.81093542775768,,91273.61804252557,91172.0126662437,90985.67261026356,91421.5,2026-01-13,91241.23241621528
2026-01-13 06:00:00,91430.0,92166.66,91387.44,91834.99,185.0314,51.4289761474317,162.81748198611604,146.21994965778276,16.597532328333273,96.49973015129474,,91385.89243402047,91232.2833329488,91018.97917456696,91796.36333333334,2026-01-13,91390.54647407854
2026-01-13 07:00:00,91835.0,92188.23,91720.0,92095.14,166.35108,55.198773826220666,210.72118781201425,159.12019728862907,51.60099052338518,98.79929764519592,95.36998774141613,91527.74194721639,91310.72484813529,91061.18155987807,92001.12333333334,2026-01-13,91509.4428115665
2026-01-13 08:00:00,92095.15,92126.16,91820.0,91860.01,99.7917,51.32164485043012,227.0943910908536,172.715036049074,54.379355041779604,93.78864789832646,96.36255856493904,91594.19555777311,91360.65986194117,91092.50816537304,91935.39,2026-01-13,91553.99526509047
2026-01-13 09:00:00,91860.0,92186.73,91846.74,92095.99,159.24548,54.75635607938745,256.15904447353387,189.403837733966,66.75520673956788,93.07987281800195,95.2226061205081,91694.55444621849,91427.50805631015,91131.86039418195,92043.15333333334,2026-01-13,91623.9632771714
2026-01-13 10:00:00,92095.99,92603.64,91880.4,92207.99,305.30939,56.33125454418524,284.9457780984376,208.51222580686033,76.43355229157726,93.0798728180102,93.31613117811287,91797.2415569748,91498.46096028195,91174.06155519442,92230.67666666665,2026-01-13,91754.53745727993
2026-01-13 11:00:00,92207.99,92272.18,91950.0,92064.97,100.50837,53.75789384697698,292.84323859546566,225.3784283645814,67.46481023088427,95.38138167973507,93.84704243858239,91850.78724557985,91549.9617820745,91208.99914126523,92095.71666666667,2026-01-13,91777.11049370385
2026-01-13 12:00:00,92064.97,92194.59,91888.29,91920.81,100.22439,51.21805029582071,284.1935197416169,237.1414466399885,47.05207310162842,87.09036116214895,91.85053855329807,91864.79179646388,91583.67525643136,91236.91329258816,92001.23,2026-01-13,91790.98160645332
2026-01-13 13:00:00,91920.82,92084.64,91832.96,92040.99,68.0965,53.20302339535681,283.7650104431086,246.46615940061253,37.298851042496096,81.58433410843553,88.01869231677318,91900.03143717111,91625.24932402851,91268.44571248666,91986.19666666667,2026-01-13,91798.85944522728
2026-01-13 14:00:00,92041.0,92532.38,91912.0,92002.01,267.09551,52.45743889113602,277.0859788224334,252.5901232849767,24.49585553745669,78.67584047569301,82.4501785820925,91920.42714973689,91659.50029457138,91297.21293944797,92148.79666666668,2026-01-13,91846.67958554415
2026-01-13 15:00:00,92002.0,93000.0,91697.68,92400.0,337.90577,58.80516699043519,300.44393434672384,262.16088549732615,38.28304884939769,87.67563607364362,82.64527021925738,92016.34171978952,91726.81844961033,91340.45949084216,92365.89333333333,2026-01-13,91923.21132719057
2026-01-13 16:00:00,92400.0,93410.11,92051.4,93410.1,451.50783,69.81914445460018,395.89824212960957,288.90835682378287,106.9898853058267,93.18166312740618,86.51104655891426,92295.09337583162,91879.8440451003,91421.6218637503,92957.20333333332,2026-01-13,92093.35067575847
2026-01-13 17:00:00,93410.1,93740.67,93042.27,93372.02,876.30218,69.06941518245372,463.13499902925105,323.75368526487654,139.3813137643745,99.07464585241833,93.31064835115603,92510.47870066529,92015.49640463662,91498.10806517187,93384.98666666668,2026-01-13,92405.99752984442
2026-01-13 18:00:00,93372.02,93478.01,93078.0,93213.76,221.86555,65.90212212046166,497.9107487480069,358.58509796150264,139.32565078650424,93.87617696661117,95.37749531547855,92651.13496053225,92124.42945876055,91565.38853320434,93256.59000000001,2026-01-13,92455.11541518403
2026-01-13 19:00:00,93213.76,93869.81,93159.6,93612.27,285.76868,69.67332590184712,551.2724814479006,397.12257465878224,154.1499067891184,93.61486876694255,95.52189719532402,92843.3619684258,92259.68768978231,91645.65839464731,93547.22666666667,2026-01-13,92530.7208072011
2026-01-13 20:00:00,93612.27,94232.02,93452.01,94220.87,391.55646,74.34072045808989,635.3470870509918,444.76747713722415,190.57960991376768,94.54022291412157,94.01042288255843,93118.86357474064,92437.97699071118,91746.64708505331,93968.3,2026-01-13,92655.26983878334
2026-01-13 21:00:00,94220.87,94499.0,94110.29,94424.67,1081.68935,75.68996959281475,710.2346317593765,497.86090806165464,212.37372369772186,99.73869179994824,95.96459449367079,93380.02485979252,92618.58544610107,91851.66759152181,94344.65333333332,2026-01-13,92981.52263074677
2026-01-13 22:00:00,94424.05,94533.31,94034.1,94088.8,333.7509,69.22913920829845,734.0203191319306,545.0927902757098,188.92752885622076,91.19966806800569,95.15952759402516,93521.77988783401,92752.24131463733,91939.39827420723,94218.73666666668,2026-01-13,93051.09782314404
2026-01-13 23:00:00,94088.79,96600.0,94088.79,95749.92,1020.76151,78.84636011672211,876.8019224109303,611.4346167027539,265.36730570817633,91.1996680680292,94.04600931199438,93967.40791026721,93024.75755876121,92088.83049874812,95479.56999999999,2026-01-13,93407.48284017031
2026-01-14 00:00:00,95757.37,96100.0,95049.0,95381.0,324.56389,73.36234048488079,949.2462905365101,678.9969514695052,270.2493390670048,84.58324254006128,88.99419289203206,94250.12632821377,93238.96141705565,92217.93518507174,95510.0,2026-01-14,95510.0
2026-01-14 01:00:00,95381.0,95624.25,95094.43,95204.0,537.85243,70.81736917793225,981.0674189478741,739.411044965179,241.65637398269507,83.6966615541819,86.49319072075745,94440.90106257102,93417.6012882324,92335.03576604932,95307.56,2026-01-14,95383.74677008756
2026-01-14 02:00:00,95203.99,95543.89,95094.37,95211.01,455.98095,70.86048349274758,995.3774492536759,790.6043258228784,204.77312343079745,73.60925081126524,80.62971830183614,94594.92285005683,93580.63844384762,92447.81906934151,95283.09000000001,2026-01-14,95348.93361422564
2026-01-14 03:00:00,95211.0,95524.59,95169.0,95316.0,158.66331,71.5386969886332,1003.6209493593196,833.2076505301667,170.41329882915295,70.99495527819433,76.10028921454716,94739.13828004546,93738.39858531603,92560.29675289674,95336.52999999998,2026-01-14,95347.6012392942
2026-01-14 04:00:00,95316.0,95688.99,95243.0,95685.01,84.8178,73.84303566652146,1028.078951443691,872.1819107128716,155.8970407308194,72.36013402432738,72.32144670459564,94928.31262403636,93915.3632593782,92682.83452729294,95539.0,2026-01-14,95357.99514832943
2026-01-14 05:00:00,95685.01,95764.21,95200.0,95218.02,127.6221,66.50469353752891,998.2724408095819,897.4000167322138,100.87242407736812,50.66592223445772,64.67367051232647,94986.2540992291,94033.78659943472,92782.25356543831,95394.07666666668,2026-01-14,95360.72068714749
2026-01-14 06:00:00,95218.01,95257.0,94946.84,94995.99,144.87644,63.28455253615859,945.8316425542434,907.0863418966198,38.7453006576236,26.563309962299442,49.863122073694846,94988.20127938328,94121.25963584974,92869.06675895053,95066.61,2026-01-14,95337.49224982073
2026-01-14 07:00:00,94995.98,95016.0,94530.87,95015.99,196.94898,63.45620075795663,895.5622804732411,904.7815296119442,-9.219249138703049,1.9193806462081133,26.382870947655093,94993.75902350663,94202.5987598634,92953.25982722698,94854.28666666667,2026-01-14,95290.64262971177
2026-01-14 08:00:00,95016.0,95230.52,94841.88,95197.0,163.66878,65.04881166462724,860.4111588374362,895.9074554570427,-35.49629661960648,4.146706266248408,10.876465624918653,95034.40721880531,94292.99887260309,93041.24963792396,95089.8,2026-01-14,95275.66689037334
2026-01-14 09:00:00,95197.0,95310.22,94884.0,94884.0,112.70751,60.16596248281409,798.0971899337455,876.3454023523834,-78.24821241863788,4.146706266248408,3.404264392901643,95004.32577504426,94346.72624782097,93113.51435800537,95026.07333333332,2026-01-14,95263.47681296736
2026-01-14 10:00:00,94884.01,95178.44,94870.44,95079.98,112.4753,62.08505735784784,755.8143118475564,852.239184251418,-96.42487240386163,7.203472581896823,5.165628371464546,95019.4566200354,94413.38567983726,93190.63065769144,95042.95333333332,2026-01-14,95253.22820738725
2026-01-14 11:00:00,95079.98,95273.99,94876.01,95073.01,165.64394,61.970707854523475,713.5174209042743,824.4948315819893,-110.97741067771494,6.644826874498315,5.9983352408811825,95030.16729602832,94473.35152712479,93264.44945542903,95074.33666666667,2026-01-14,95241.76867685128
2026-01-14 12:00:00,95073.0,95077.71,94716.65,94770.0,177.49708,57.05120846805785,648.0758405822853,789.2110333820485,-141.13519279976322,6.644826874498315,6.831042110297818,94978.13383682266,94500.31957011344,93323.49065325536,94854.78666666667,2026-01-14,95216.9115434547
2026-01-14 13:00:00,94770.0,95136.0,94658.48,95060.0,96.30366,60.29950795232874,612.5523706367821,753.8793008329953,-141.3269301962132,9.668566256761114,7.652740001919248,94994.50706945812,94551.19960919402,93391.58905901006,94951.49333333333,2026-01-14,95207.97303915386
2026-01-14 14:00:00,95060.01,95213.53,94868.75,94987.26,148.05403,59.09226212614802,571.9373173103813,717.4909041284726,-145.55358681809128,10.499856229292142,8.937749786850524,94993.0576555665,94590.84146290366,93454.16439002927,95023.18,2026-01-14,95198.87652997424
2026-01-14 15:00:00,94987.25,96823.66,94969.14,96488.0,814.11489,71.68691057716924,653.3157533958583,704.6558739819498,-51.340120586091416,39.55308142042034,19.907167968824535,95292.0461244532,94763.31042082151,93573.1383355183,96093.59999999999,2026-01-14,95389.46980999061
2026-01-14 16:00:00,96495.0,97080.0,96179.86,96772.99,822.24308,73.36400805828939,732.3628386093042,710.1972669074207,22.165571701883437,65.48732500902794,38.51342088624681,95588.23489956257,94946.00856438318,93698.6227145176,96677.61666666665,2026-01-14,95617.54087927079
2026-01-14 17:00:00,96772.98,97726.0,96739.88,97321.0,772.6901,76.27428250754048,829.6641978094704,734.0906530878307,95.57354472163968,94.76897765658869,66.603128028679,95934.78791965006,95161.91687671198,93840.67672571298,97262.29333333333,2026-01-14,95852.1631112429
2026-01-14 18:00:00,97320.99,97823.69,96829.33,96986.02,713.80372,71.1563581574123,869.7205425069405,761.2166309716526,108.5039115352879,90.1744657463684,83.47692280399501,96145.03433572005,95327.74443337452,93964.02352078307,97213.01333333335,2026-01-14,96010.61275089474
2026-01-14 19:00:00,96986.01,97143.0,96272.72,96836.23,525.53482,68.9291178508047,879.2433135091705,784.8219674791562,94.42134603001432,78.38866461298726,87.77736933864811,96283.27346857604,95464.87948488593,94076.65906898766,96750.65000000001,2026-01-14,96069.04299015233
2026-01-14 20:00:00,96836.01,97676.36,96702.98,97291.2,507.46772,71.81486399095091,912.9782102942554,810.4532160421761,102.5249942520793,70.6559115902274,79.73968064986103,96484.85877486084,95630.90862262357,94202.7194976548,97223.51333333332,2026-01-14,96150.82618775417
2026-01-14 21:00:00,97291.21,97965.0,97223.53,97682.02,570.72325,74.04487197520442,960.180899111132,840.3987526559674,119.7821464551646,75.66467313003857,74.9030831110844,96724.29101988868,95817.37329329415,94339.16265460954,97623.51666666666,2026-01-14,96259.49842948257
2026-01-14 22:00:00,97682.01,97745.85,97410.43,97586.26,192.66072,72.53061465652576,978.5818558866304,868.0353733021001,110.54648258453028,81.90976656706316,76.07678376244304,96896.68481591094,95978.18117572195,94466.49980540917,97580.84666666666,2026-01-14,96291.6133088277
2026-01-14 23:00:00,97586.25,97614.54,96812.36,96912.01,202.67248,62.79329419692745,928.0603051450598,880.0403596706922,48.01994547436766,66.26611911947496,74.61351960552557,96899.74985272875,96063.07470520177,94562.40216598136,97112.96999999999,2026-01-14,96312.08992073602
2026-01-15 00:00:00,96912.01,97400.0,96884.0,96969.59,159.54059,63.24707425991237,882.4949841350754,880.5312845635689,1.9636995715064813,47.54244413551544,65.23944327401786,96913.71788218302,96145.48518654706,94656.80168888405,97084.52999999998,2026-01-15,97084.52999999998
2026-01-15 01:00:00,96969.6,97018.36,96495.07,96671.0,227.86007,59.21399432149108,812.9195903621585,867.0089457232868,-54.089355361128355,24.451062206322508,46.08654182043764,96865.17430574642,96193.25926049732,94735.78985794741,96728.14333333333,2026-01-15,96874.91164051207
2026-01-15 02:00:00,96671.0,96980.67,96318.65,96460.01,194.90437,56.47359939225875,732.3138021883933,840.0699170163082,-107.75611482791487,14.49412934351061,28.829211895116185,96784.14144459713,96217.50932772482,94803.40633410633,96586.44333333334,2026-01-15,96778.35789156775
2026-01-15 03:00:00,96460.0,96634.99,96110.25,96341.99,169.60899,54.94190908190387,651.4009618563578,802.3361259843182,-150.93516412796043,3.750329506751095,14.231840352194737,96695.71115567771,96228.82575247712,94863.7429484551,96362.40999999999,2026-01-15,96684.53266700095
2026-01-15 04:00:00,96342.0,96402.0,95764.46,95981.06,289.76915,50.436611783318746,551.7922013471543,752.2273410568854,-200.43513970973106,0.0,6.081486283420568,96552.78092454217,96206.30159316101,94907.55930341764,96049.17333333334,2026-01-15,96507.792234436
2026-01-15 05:00:00,95981.06,96401.3,95951.78,96319.61,198.66736,54.22804726192147,494.4697570582066,700.6758242571497,-206.20606719894306,4.891353557699946,2.8805610214836803,96506.14673963374,96216.6023574191,94962.93384053852,96224.23,2026-01-15,96462.3739763319
